Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-30SEP22-35000-P,0.224,6,61.93,0.1975,0.2029,0.25,84.67,6,1839.9,-0.51753,0.00003,74.14139,-19.47148,-77.59698,0.2
BTC-30SEP22-36000-P,-,-,-,-,0.2228,0.526,200,0.1,-,-0.54903,0.00003,73.65292,-19.20301,-83.13747,-
BTC-30SEP22-40000-P,0.3425,5,43.7,0.275,0.3123,0.332,71.83,5,834.3,-0.66355,0.00003,67.88636,-17.39018,-105.1077,0.6
BTC-30SEP22-28000-C,0.205,9,67.25,0.2175,0.2233,0.2505,83.73,9,59.7,0.70598,0.00003,64.08754,-18.38091,51.98407,0.4
BTC-30SEP22-60000-C,0.0115,5.8,66.56,0.0115,0.012,0.0125,67.74,4.8,1971.4,0.07914,0.00001,27.43161,-7.53189,7.22859,11.7
BTC-30SEP22-80000-P,0.6275,1,-,0.2,1.4944,-,-,-,25,-0.96962,-,12.79087,-3.93427,-265.4001,-
BTC-30SEP22-150000-C,0.0005,-,-,-,0.001,0.001,96.28,0.1,675.7,0.00664,-,3.46172,-1.36613,0.60448,-
BTC-30SEP22-55000-P,0.355,10,-,0.7115,0.7289,1.0035,200.01,0.1,1.8,-0.89143,0.00002,34.65223,-9.23849,-174.5206,-
BTC-30SEP22-10000-C,0.6835,11,-,0.685,0.6938,0.698,126.7,11,5.5,0.98308,-,7.81223,-3.5806,31.1625,-
BTC-30SEP22-65000-C,0.0075,5.6,68.63,0.0085,0.009,0.0095,70.08,5,577.5,0.06002,0.00001,22.16671,-6.27987,5.49821,2.5
BTC-30SEP22-30000-C,0.186,1.6,67.41,0.185,0.1864,0.188,68.8,1.1,570.4,0.64469,0.00003,69.27807,-19.26218,49.36503,220.3
BTC-30SEP22-45000-P,0.4965,4,55.98,0.43,0.4413,0.4615,73.63,4,395.9,-0.77207,0.00003,56.20058,-14.41016,-130.68634,0.1
BTC-30SEP22-350000-C,0.0005,-,-,-,0.0001,0.0005,130.46,3,161.6,0.00048,-,0.32042,-0.14881,0.04432,-
BTC-30SEP22-90000-C,0.0025,5.6,76.62,0.0025,0.003,0.0035,80.11,2.2,1570.7,0.02075,-,9.29079,-2.98066,1.90992,17.5
BTC-30SEP22-150000-P,1.93,-,-,-,3.6698,-,-,-,0.1,-0.99336,-,3.46154,-1.36606,-502.25799,-
BTC-30SEP22-200000-P,-,-,-,-,5.2254,-,-,-,-,-0.99737,-,1.50981,-0.63111,-670.2432,-
BTC-30SEP22-15000-C,0.536,10,-,0.529,0.5466,0.554,105.91,10,26.5,0.95235,0.00001,18.4617,-7.11376,43.7032,-
BTC-30SEP22-15000-P,0.0135,2.5,93.48,0.013,0.0135,0.014,95.22,5,1131.2,-0.04765,0.00001,18.4617,-7.11376,-6.58305,23
BTC-30SEP22-24000-C,-,8,52.93,0.277,0.3089,0.33,88.4,8,-,0.81253,0.00002,50.06595,-15.39817,54.2424,-
