Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-29JUL22-100000-C,0.0005,-,-,-,0.0003,0.001,107.62,29.5,42.5,0.00277,-,1.09572,-0.88073,0.12879,-
BTC-29JUL22-25000-C,0.2,-,-,-,0.252,0.4,200.18,0.1,2,0.82423,0.00003,33.28426,-21.98567,29.71565,-
BTC-29JUL22-46000-C,0.012,8.1,64.8,0.0115,0.0117,0.0125,66.16,55.4,310.1,0.10376,0.00002,23.21321,-12.72075,4.78097,16.5
BTC-29JUL22-10000-P,0.0015,70.1,125.03,0.001,0.0015,0.002,137.69,17.7,411.9,-0.00705,-,2.52514,-2.79616,-0.44151,1
BTC-29JUL22-30000-C,0.138,2.7,68.55,0.1395,0.1404,0.1415,69.88,11.2,560.6,0.64166,0.00004,48.09565,-28.0006,26.03192,40.8
BTC-29JUL22-80000-C,0.0005,-,-,-,0.0009,0.0015,94,40.5,48.2,0.00878,-,3.06236,-2.29969,0.4066,-
BTC-29JUL22-80000-P,-,-,-,-,1.5065,-,-,-,-,-0.99122,-,3.06262,-2.29989,-129.70447,-
BTC-29JUL22-60000-C,0.003,61.5,71.58,0.002,0.0025,0.003,75.92,16.1,150.2,0.02438,0.00001,7.36793,-4.57994,1.13718,7.3
BTC-29JUL22-50000-P,0.578,-,-,-,0.5728,-,-,-,25,-0.93578,0.00001,16.1737,-9.1503,-78.34056,5
BTC-29JUL22-30000-P,0.0805,24.4,68.49,0.079,0.0799,0.081,69.82,33.1,1167.7,-0.35834,0.00004,48.09565,-28.0006,-22.75975,91.1
BTC-29JUL22-25000-P,0.0345,10.4,77.96,0.0345,0.035,0.0355,78.92,59,2600.6,-0.17577,0.00003,33.28426,-21.98567,-10.94407,9.5
BTC-29JUL22-26000-P,0.0435,6.9,75.75,0.041,0.0416,0.042,76.62,2.3,265.8,-0.20564,0.00003,36.65286,-23.54309,-12.83795,39.6
BTC-29JUL22-28000-C,0.157,2.6,70.03,0.178,0.1811,0.184,74.48,10.7,433.4,0.72439,0.00004,43.0119,-26.20819,28.21155,2
BTC-29JUL22-70000-P,-,-,-,-,1.1934,-,-,-,-,-0.98914,-,3.68645,-2.46161,-113.33945,-
BTC-29JUL22-35000-C,0.066,3.6,63.86,0.066,0.0661,0.0665,64.18,25,199.4,0.41008,0.00005,50.05887,-26.95327,17.86185,32.9
BTC-29JUL22-14000-C,-,-,-,-,0.5659,-,-,-,-,0.97829,-,6.68366,-6.43223,21.41416,-
BTC-29JUL22-22000-P,0.0205,23.2,85.19,0.02,0.0205,0.021,86.55,47.3,510.7,-0.10581,0.00002,23.54355,-17.01916,-6.55703,76.4
BTC-29JUL22-28000-P,0.058,13.6,71.92,0.0575,0.0581,0.059,73.04,30.3,568.5,-0.27561,0.00004,43.0119,-26.20819,-17.32734,75.4
BTC-29JUL22-70000-C,0.001,81.4,72.84,0.0005,0.0011,0.002,85.63,32.2,89.3,0.01086,-,3.68645,-2.46161,0.50777,5.1
BTC-29JUL22-18000-C,-,-,-,-,0.4459,-,-,-,-,0.95009,0.00001,13.26128,-10.96427,26.18128,-
BTC-29JUL22-24000-C,-,0.1,-,0.061,0.2777,0.4145,200,0.1,-,0.85066,0.00002,29.93478,-20.36347,29.7529,-
BTC-29JUL22-22000-C,-,10,-,0.0005,0.3314,-,-,-,-,0.8942,0.00002,23.54285,-17.01866,29.22384,-
BTC-29JUL22-26000-C,0.2145,-,-,-,0.2273,0.386,200.26,0.1,14.4,0.79437,0.00003,36.65217,-23.54265,29.4487,-
BTC-29JUL22-45000-C,0.014,5.2,64.61,0.0135,0.0135,0.0145,65.84,55.8,224.9,0.11754,0.00002,25.38393,-13.80732,5.40377,69.3
BTC-29JUL22-45000-P,-,-,-,-,0.4228,0.6135,199.96,0.1,-,-0.88246,0.00002,25.38393,-13.80732,-67.78373,-
BTC-29JUL22-10000-C,-,-,-,-,0.6883,-,-,-,-,0.99295,-,2.52503,-2.79605,15.8224,-
BTC-29JUL22-20000-P,0.0135,76.7,90.47,0.0135,0.0142,0.0145,92.26,5.5,1997.4,-0.07373,0.00001,17.99046,-13.91086,-4.56812,1.1
