Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-30DEC22-30000-P,0.1725,12.1,64.55,0.163,0.1644,0.166,65.62,11.6,1079.7,-0.36417,0.00002,88.89138,-14.07889,-93.83812,1.2
BTC-30DEC22-200000-P,-,-,-,-,5.3403,-,-,-,-,-0.99222,-,5.06026,-1.10113,-1124.19215,-
BTC-30DEC22-38000-C,0.1235,10.6,61.79,0.1155,0.1174,0.1185,62.8,4.8,89.4,0.43536,0.00003,93.17655,-14.16656,56.43751,-
BTC-30DEC22-32000-C,0.1705,4.1,63.65,0.183,0.185,0.187,65.02,7.7,241.2,0.58397,0.00003,92.31936,-14.46,70.82906,0.1
BTC-30DEC22-34000-C,0.1465,12.1,62.79,0.157,0.1591,0.161,64.14,7.2,101,0.53237,0.00003,94.10772,-14.54751,66.26934,0.1
BTC-30DEC22-26000-P,0.1105,10.6,67.66,0.1075,0.1086,0.11,68.68,11.2,122.7,-0.26294,0.00002,77.21283,-12.79907,-65.95104,0.1
BTC-30DEC22-25000-P,0.0975,10.5,68.41,0.0955,0.0968,0.0985,69.7,12.5,2107,-0.23929,0.00002,73.45644,-12.33402,-59.66471,3.2
BTC-30DEC22-22000-C,-,9,61.32,0.3495,0.3696,0.398,86.4,9,-,0.82569,0.00002,60.85485,-10.67877,80.97773,-
BTC-30DEC22-40000-P,0.3935,75,-,0.02,0.3687,0.75,195.91,1,551.5,-0.60875,0.00003,90.88137,-13.75007,-173.52814,-
BTC-30DEC22-10000-C,-,12,-,0.682,0.6927,0.6995,110.23,12,-,0.97376,-,14.4039,-3.41236,49.89243,-
BTC-30DEC22-36000-C,0.1405,22.1,62.16,0.1345,0.1367,0.138,63.33,4.4,277.2,0.48251,0.00003,94.32035,-14.44246,61.38755,-
BTC-30DEC22-36000-P,0.2665,8,61.15,0.2725,0.2777,0.331,80.72,8,2.4,-0.51742,0.00003,94.32875,-14.44375,-141.15776,-
BTC-30DEC22-15000-C,0.5555,10,60.3,0.531,0.5488,0.559,93.43,10,3.8,0.93302,0.00001,30.71573,-6.25652,68.20637,-
BTC-30DEC22-80000-C,0.012,12.8,68.4,0.011,0.0112,0.012,69.5,59.2,3454.5,0.06068,0.00001,28.44134,-4.75398,8.77898,12.9
BTC-30DEC22-28000-C,0.245,9,52.42,0.21,0.2472,0.2845,80.52,9,23.9,0.68752,0.00002,83.78598,-13.5524,78.17346,-
BTC-30DEC22-300000-P,5.561,5,-,0.0005,8.5091,-,-,-,2.4,-0.99586,-,2.88944,-0.7007,-1687.38496,-
BTC-30DEC22-24000-C,-,9,60.55,0.305,0.3255,0.355,83.23,9,-,0.78333,0.00002,69.46408,-11.84173,81.27946,-
BTC-30DEC22-70000-P,1.373,-,-,-,1.235,-,-,-,7.3,-0.91318,0.00001,37.41586,-6.01682,-381.36801,-
BTC-30DEC22-55000-C,0.037,13.3,62.43,0.035,0.0362,0.0375,63.73,37.8,267.6,0.17395,0.00002,60.77667,-9.32848,24.46043,20
BTC-30DEC22-20000-C,0.408,9,61.93,0.3975,0.4169,0.4425,89.34,9,35.6,0.8633,0.00001,51.82834,-9.39995,79.24323,-
